Date,Time,Open,High,Low,Close,Volume
20100411,00:00:00,18.332,18.609,18.184,18.511,1175
20100412,00:00:00,18.432,18.604,17.941,18.172,12666
20100413,00:00:00,18.174,18.311,17.816,18.193,13376
20100414,00:00:00,18.148,18.505,17.996,18.434,13261
20100415,00:00:00,18.388,18.515,18.063,18.351,13406
20100416,00:00:00,18.308,18.442,17.447,17.588,12439
20100418,00:00:00,17.664,17.707,17.458,17.695,948
20100419,00:00:00,17.672,17.802,17.294,17.647,12906
20100420,00:00:00,17.734,18.014,17.568,17.738,12394
20100421,00:00:00,17.845,18.160,17.558,17.937,12692
20100422,00:00:00,18.037,18.183,17.612,17.850,12719
20100423,00:00:00,17.942,18.304,17.683,18.191,11383
20100425,00:00:00,18.158,18.396,18.094,18.180,1097
20100426,00:00:00,18.168,18.441,18.057,18.294,12582
20100427,00:00:00,18.277,18.375,17.841,18.188,13169
20100428,00:00:00,18.184,18.264,17.669,18.032,12569
20100429,00:00:00,17.971,18.555,17.875,18.473,12368
20100430,00:00:00,18.443,18.784,18.236,18.498,11792
20100502,00:00:00,18.516,18.683,18.373,18.591,1120
20100503,00:00:00,18.577,18.877,18.316,18.668,12412
20100504,00:00:00,18.760,18.796,17.643,17.727,12978
20100505,00:00:00,17.805,17.863,16.935,17.436,13255
20100506,00:00:00,17.516,17.770,17.099,17.520,13524
20100507,00:00:00,17.622,18.607,17.309,18.215,12434
20100509,00:00:00,18.294,18.504,18.138,18.333,1286
20100510,00:00:00,18.334,18.649,18.029,18.486,13402
20100511,00:00:00,18.482,19.391,18.193,19.280,13399
20100512,00:00:00,19.266,19.702,18.974,19.491,13812
20100513,00:00:00,19.504,19.785,19.109,19.397,13496
20100514,00:00:00,19.425,19.680,18.828,19.294,12256
20100516,00:00:00,19.216,19.341,19.030,19.256,1169
20100517,00:00:00,19.272,19.432,18.597,18.842,13497
20100518,00:00:00,18.937,19.105,18.495,18.801,13307
20100519,00:00:00,18.890,18.915,17.811,18.173,13023
20100520,00:00:00,18.228,18.300,17.349,17.606,12607
20100521,00:00:00,17.622,17.844,17.282,17.626,12579
20100523,00:00:00,17.523,17.767,17.417,17.671,1157
20100524,00:00:00,17.729,18.062,17.558,17.766,12842
20100525,00:00:00,17.888,18.098,17.370,18.080,13482
20100526,00:00:00,18.083,18.390,17.802,17.955,13040
20100527,00:00:00,18.017,18.562,17.904,18.494,12913
20100528,00:00:00,18.459,18.659,18.065,18.314,11611
20100530,00:00:00,18.263,18.457,18.135,18.315,1095
20100531,00:00:00,18.335,18.621,18.166,18.522,11053
20100601,00:00:00,18.483,18.676,18.104,18.446,12741
20100602,00:00:00,18.443,18.521,17.941,18.386,12725
20100603,00:00:00,18.382,18.466,17.656,17.900,12121
20100604,00:00:00,17.876,17.994,17.128,17.399,12192
20100606,00:00:00,17.246,17.509,17.146,17.456,1191
20100607,00:00:00,17.339,18.258,17.064,18.086,13330
20100608,00:00:00,18.087,18.475,17.860,18.249,13321
20100609,00:00:00,18.280,18.356,17.862,18.110,13359
20100610,00:00:00,18.091,18.430,17.731,18.229,13766
20100611,00:00:00,18.241,18.482,17.917,18.153,11914
20100613,00:00:00,18.108,18.320,18.032,18.288,837
20100614,00:00:00,18.274,18.557,18.004,18.241,13025
20100615,00:00:00,18.237,18.656,18.068,18.364,13021
20100616,00:00:00,18.505,18.650,18.217,18.445,13346
20100617,00:00:00,18.457,18.866,18.146,18.721,13479
20100618,00:00:00,18.711,19.304,18.513,19.043,12205
20100620,00:00:00,19.033,19.238,18.943,19.075,1052
20100621,00:00:00,19.066,19.458,18.452,18.737,13236
20100622,00:00:00,18.663,18.976,18.426,18.781,13079
20100623,00:00:00,18.713,18.964,18.177,18.519,13045
20100624,00:00:00,18.421,18.804,18.024,18.708,13554
20100625,00:00:00,18.600,19.118,18.423,19.023,11875
20100627,00:00:00,18.993,19.151,18.892,19.092,1178
20100628,00:00:00,19.013,19.259,18.478,18.696,13427
20100629,00:00:00,18.612,18.758,18.226,18.437,13454
20100630,00:00:00,18.407,18.830,18.286,18.557,12866
20100701,00:00:00,18.490,18.662,17.508,17.824,13505
20100702,00:00:00,17.734,18.102,17.462,17.804,12029
20100704,00:00:00,17.824,17.835,17.619,17.807,790
20100705,00:00:00,17.807,17.937,17.506,17.712,12292
20100706,00:00:00,17.745,18.006,17.472,17.779,13756
20100707,00:00:00,17.797,18.087,17.389,17.939,13978
20100708,00:00:00,18.062,18.182,17.576,17.801,14158
20100709,00:00:00,17.875,18.204,17.648,18.044,12239
20100711,00:00:00,17.993,18.142,17.852,18.011,1249
20100712,00:00:00,18.066,18.231,17.629,17.777,13938
20100713,00:00:00,17.864,18.332,17.681,18.211,13967
20100714,00:00:00,18.248,18.467,17.929,18.227,13579
20100715,00:00:00,18.281,18.508,18.030,18.281,13711
20100716,00:00:00,18.301,18.381,17.582,17.784,12622
20100718,00:00:00,17.723,17.905,17.596,17.776,1338
20100719,00:00:00,17.694,17.898,17.331,17.544,13923
